GameID,Date,AwayTeam,HomeTeam
717483,2023-07-06T00:10:00Z,Chicago Cubs,Milwaukee Brewers
717478,2023-07-06T00:40:00Z,Los Angeles Angels,San Diego Padres
717490,2023-07-06T01:05:00Z,Seattle Mariners,San Francisco Giants
717477,2023-07-06T01:40:00Z,New York Mets,Arizona Diamondbacks
717479,2023-07-06T02:10:00Z,Pittsburgh Pirates,Los Angeles Dodgers
717481,2023-07-06T17:05:00Z,Cincinnati Reds,Washington Nationals
717476,2023-07-06T17:10:00Z,Oakland Athletics,Detroit Tigers
717474,2023-07-06T18:10:00Z,Chicago Cubs,Milwaukee Brewers
717472,2023-07-06T22:40:00Z,Philadelphia Phillies,Tampa Bay Rays
717473,2023-07-06T22:40:00Z,St. Louis Cardinals,Miami Marlins
717475,2023-07-06T23:05:00Z,Baltimore Orioles,New York Yankees
717469,2023-07-06T23:10:00Z,Kansas City Royals,Cleveland Guardians
717471,2023-07-06T23:10:00Z,Texas Rangers,Boston Red Sox
717467,2023-07-07T00:10:00Z,Seattle Mariners,Houston Astros
717468,2023-07-07T00:10:00Z,Toronto Blue Jays,Chicago White Sox
717470,2023-07-07T01:40:00Z,New York Mets,Arizona Diamondbacks
717462,2023-07-07T02:10:00Z,Pittsburgh Pirates,Los Angeles Dodgers
717457,2023-07-07T22:40:00Z,Toronto Blue Jays,Detroit Tigers
717460,2023-07-07T22:40:00Z,Atlanta Braves,Tampa Bay Rays
717466,2023-07-07T22:40:00Z,Philadelphia Phillies,Miami Marlins
717465,2023-07-07T23:05:00Z,Texas Rangers,Washington Nationals
717464,2023-07-07T23:05:00Z,Chicago Cubs,New York Yankees
717463,2023-07-07T23:10:00Z,Kansas City Royals,Cleveland Guardians
717461,2023-07-07T23:10:00Z,Oakland Athletics,Boston Red Sox
717453,2023-07-08T00:10:00Z,Seattle Mariners,Houston Astros
717458,2023-07-08T00:10:00Z,Baltimore Orioles,Minnesota Twins
717455,2023-07-08T00:10:00Z,St. Louis Cardinals,Chicago White Sox
717459,2023-07-08T00:10:00Z,Cincinnati Reds,Milwaukee Brewers
717452,2023-07-08T01:40:00Z,Pittsburgh Pirates,Arizona Diamondbacks
717454,2023-07-08T01:40:00Z,New York Mets,San Diego Padres
